Tournament,Game Name,Short Name,Abbr-Game,Abbr-Regions List,Region Includes,Smash URL,Info-Cap,Stream-Pools,Stream-Finals,$-Pot Split,Info-Seeding,Pools-Bracket Type,Pools-Rounds per Game,Pools-Games per Set,Finals-Phase,Finals-Games per Set,Rules-Game Settings,Rules-Chara Change,Rules-Glitches,Rules-Disconnect,Staff-Lead TOs,Img-Game Logo URL,Rules-Notes,Info-Software Needed,Info-Platform,Time-Start (PST),Time-Start (Local),TZ Main,TZ Offset
HFTF - NA - (PC-Fightcade),JoJo's Bizarre Adventure: Heritage for the Future,JJBA Heritage,HFTF,NA,"United States, Canada, Mexico",https://www.start.gg/tournament/vortex-gallery-online-2023/event/jojo-s-bizarre-adventure-heritage-for-the-future-na/overview,,,,60/30/10,Skill,Double Elimination,2/3,2/3,Top 8,"3/5 Games for Grand Finals,3/5 Games for Winners Finals,3/5 Games for Losers Finals",Normal Default Settings,Winner must keep character. Loser may switch.,"No Avdol Ghosting Glitch
No Milder Ghosting Glitch",,BiLL,https://dl.airtable.com/.attachments/d1d1b1c80c63aca737d5c69970766892/415edd88/Jojos-Bizarre-Adventure-Heritage-For-The-Future-logo.png,Kakyoin AND Petshop are Banned,FightCade,PC-Fightcade,2023-02-19 12:00pm,2023-02-19 12:00pm,PST,-8
KLK - NA+SA - (PC-Steam),Kill La Kill -IF Restitched,Kill la Kill,KLK,"NA, SA",,https://www.start.gg/tournament/vortex-gallery-online-2023/event/kill-la-kill-if-restitched-na-sa/overview,None,https://twitch.tv/ooluchi,https://twitch.tv/ooluchi,60/30/10,Region + Skill,Double Elimination,2/3,2/3,Top 4,"3/5 Games for Winners Finals,3/5 Games for Losers Finals,3/5 Games for Grand Finals","Game will be played on the steam modded version know as KLKIF: Restitched

Time: 180 Seconds

Round Format: 2/3, 3/5 for Winner's Loser's and Grand Finals

Stage Selection Rules: 

Game 1: Polling Grounds OR Natural Election Stadium

Game 2: Loser of previous round selects the next map. Winner of round is allowed to ban one map. 

Game 3-5 (if necessary): Follow same rules as round 2

Loser of previous round is allowed to swap characters. Winner is required to stick to their character.",Winner must keep character. Loser may switch.,,,IronFoxfire,https://dl.airtable.com/.attachments/85bfdc4fe9f4620d5468941d3c5d93e0/6759517c/klkifr.png,Story characters are banned. Patch will be played on Restitched version 1.3 https://www.youtube.com/watch?v=xLwtU6RDQRM&t=2s,"Steam, Restitched mod files https://drive.google.com/file/d/1u84RB_QALSSYmWCnKsVoz_0jqmWvz6Jn/view",PC-Steam,2023-03-04 1:00pm,2023-03-04 1:00pm,PST,-8
KOIHIME - SA/BR - (PC-Steam),Koihime Enbu RyoRaiRai,Koihime,KOIHIME,SA/BR,,https://www.start.gg/tournament/vortex-gallery-online-2023/event/koihime-enbu-ryorairai-br/overview,32,https://twitch.tv/jota_sr,https://twitch.tv/jota_sr,TBD,Skill,Round Robin,2/3,2/3,Top 8,"3/5 Games for Losers Finals,3/5 Games for Winners Finals,3/5 Games for Grand Finals","FT2

Finais FT3


Char lock para o vencedor do set",Winner must keep character. Loser may switch.,,"in case of unsuccessful connection, the winner will be decided by coin",Sr Jota,https://dl.airtable.com/.attachments/786893585b6df170d66f997c64ac8d6a/fab5dc66/koihime-enbu-rrr.png,,,PC-Steam,2023-02-17 3:00pm,2023-02-17 8:00pm,BRT,-3
LAND - ALL - (PC-Fightcade),Landmaker,Landmaker,LAND,ALL,,https://www.start.gg/tournament/vortex-gallery-online-2023/event/landmaker-global/overview,64,https://twitch.tv/AlexAlchemy,https://twitch.tv/AlexAlchemy,TBD,Skill,Double Elimination,2/3,2/3,Top 8,"3/5 Games for Losers Finals,3/5 Games for Winners Finals,3/5 Games for Grand Finals",,Winner must keep character. Loser may switch.,,,Trash Boat,https://dl.airtable.com/.attachments/09991a66b1afb4245b16c2075ecf9746/d05d5f53/landmaker-logo.png,Boss characters are banned,,PC-Fightcade,2023-02-18 5:00pm,2023-02-18 5:00pm,PST,-8
LLB - ALL - (PC-Steam),Lethal League Blaze,LLB,LLB,ALL,,https://www.start.gg/tournament/vortex-gallery-online-2023/event/lethal-league-blaze-global/overview,None,https://twitch.tv/desselie,https://twitch.tv/desselie,50/25/15/10,Skill,Double Elimination,N/A,2/3,Top 8,"3/5 Games for Grand Finals,3/5 Games for Winners Finals,3/5 Games for Losers Finals",Default competitive ruleset,Winner must keep character. Loser may switch.,,Round is replayed at latest hp/stock state,Desselie,https://dl.airtable.com/.attachments/54d869a274d2e2206b1103739f33c669/db82400b/llb-logo.png,,,PC-Steam,2023-02-11 11:00am,2023-02-11 11:00am,PST,-8
MajSoul - ALL - (PC),Mahjong Soul,MajSoul,MajSoul,ALL,,https://www.start.gg/tournament/vortex-gallery-online-2023/event/mahjong-soul-global/overview,256,,,60/30/10,Random,Round Robin,N/A,,Top 32,,"50,000 start with busting. All other rules ladder standard.
First round: 5 rounds (out of 9) if <256, 6 rounds if 256 Top 32 advance.
Top 32: West games, single elim, top 2 advance.",,,,Aranlyde,https://dl.airtable.com/.attachments/ba96d8c86170472852075da2d386b723/fc61802b/Mahjong-Soul-logo.png,,,PC,"2023-02-11 10:00am, 2023-02-18 11:00am","2023-02-11 10:00am, 2023-02-18 11:00am","PST, PST","-8, -8"
MM - ALL - (PC-Fightcade),Matrimelee,MM,MM,ALL,,https://www.start.gg/tournament/vortex-gallery-online-2023/event/matrimelee-global/overview,None,https://twitch.tv/nutriafgc,https://twitch.tv/nutriafgc,50/30/20,Random,Double Elimination,2/3,2/3,Top 8,3/5 Games for Grand Finals,,Winner must keep character. Loser may switch.,,,Nutria,https://dl.airtable.com/.attachments/5e691988ce732e1d232770232a06256f/a1c1e321/Matrimelee-logo.png,,,PC-Fightcade,2023-02-10 5:00pm,2023-02-10 5:00pm,PST,-8
MBAACC - SEA - (PC-Caster),Melty Blood Actress Again Current Code,Melty Blood AACC,MBAACC,SEA,"Any SEA region countries officially classified under South East Asia
Singapore, Malaysia, Thailand, Vietnam, Indonesia, Philippines, Laos, Brunei, Cambodia, Myanmar, Timor-Leste",https://www.start.gg/tournament/vortex-gallery-online-2023/event/melty-blood-actress-again-current-code-sea/overview,None,https://twitch.tv/airdasher_sea,https://twitch.tv/airdasher_sea,50/30/20,Region + Skill,Double Elimination,2/3,2/3,Top 8,"3/5 Games for Losers Finals,3/5 Games for Winners Finals,3/5 Games for Grand Finals",,Winner must keep character. Loser may switch.,,,"VGD,Too",https://dl.airtable.com/.attachments/c1e4e6a1d860f218ee6f014077911b8d/b5d90fb4/Melty-Blood-Actress-Again-Current-Code-logo_png.png,,MBAACC Caster,PC-Caster,2023-02-17 8:00pm,2023-02-18 12:00pm,SGT,8
MBAACC - LAN - (PC-Caster),Melty Blood Actress Again Current Code,Melty Blood AACC,MBAACC,LAN,"Belize, Colombia, Costa Rica, Cuba, Ecuador, El Salvador, French Guiana, Guatemala, Guyana, Honduras, Mexico, Nicaragua, Panama, Puerto Rico, Dominican Republic, Suriname, Venezuela and countries located on the Antilles (Barbados, Jamaica, Trinidad and Tobago, etc.)",https://www.start.gg/tournament/vortex-gallery-online-2023/event/melty-blood-actress-again-current-code-lan/overview,64,https://twitch.tv/melty_lan,https://twitch.tv/melty_lan,50/30/20,Region + Skill,Double Elimination,2/3,2/3,Top 8,"3/5 Games for Losers Finals,3/5 Games for Winners Finals,3/5 Games for Grand Finals","'- The winner of a game can only switch moons; the loser can switch moons and characters (arcade style).
- Evidence of external macros, scripts or game cheats being used will lead to a ban from events.

The following stages are banned:
- Witch on the Holy night 魔法使いの夜.
- Classic 始まりの丘.
- NECO no you may いまは遊び去った王国の詩.
- Coating earth, Black Land Texture 巨人の穴蔵.
- Emerald Table, Melty Blood Texture　巨人の穴蔵.
- fateful showdown　月光.
- G TABLE(1)　Gの食卓.
- G TABLE(2)　Gの食卓.",Winner must keep character. Loser may switch.,,,"Shiburizu,NekuSebas",https://dl.airtable.com/.attachments/c1e4e6a1d860f218ee6f014077911b8d/b5d90fb4/Melty-Blood-Actress-Again-Current-Code-logo_png.png,,CCCaster 3.1.003 (https://play.meltyblood.club),PC-Caster,2023-02-18 2:00pm,2023-02-18 4:00pm,CST,-6
MBAACC - NA - (PC-Caster),Melty Blood Actress Again Current Code,Melty Blood AACC,MBAACC,NA,"No MX, Includes CA, East Coast, and West Coast",https://www.start.gg/tournament/vortex-gallery-online-2023/event/melty-blood-actress-again-current-code-na/overview,128,https://twitch.tv/numakie,https://twitch.tv/numakie,60/30/10,Region + Skill,Double Elimination,2/3,2/3,Top 8,"3/5 Games for Winners Finals,3/5 Games for Losers Finals,3/5 Games for Grand Finals","Matches will be played on Caster, not Steam, unless unresolvable controller issues arise.

In the event of a crash or technical difficulties, the game will be reset up to the previous round count, at which point the match will resume.

Loser may change character on loss, winner may change moon on win.",Winner must keep character. Loser may switch.,,"In the event of a game crash or disconnect, scoring will be kept for games & rounds, and the current round will be restarted.",DJCream,https://dl.airtable.com/.attachments/c1e4e6a1d860f218ee6f014077911b8d/b5d90fb4/Melty-Blood-Actress-Again-Current-Code-logo_png.png,,"https://www.mediafire.com/file/ngd4ykpdv3rke1x/Community_Edition_3-1-002.zip/file 
Steam version of MBAACC installed as well, just as backup",PC-Caster,2023-02-19 12:00pm,2023-02-19 12:00pm,PST,-8
MBAACC - SA/BR - (PC-Caster),Melty Blood Actress Again Current Code,Melty Blood AACC,MBAACC,SA/BR,Brazil only ,https://www.start.gg/tournament/vortex-gallery-online-2023/event/melty-blood-actress-again-current-code-br/overview,None,https://twitch.tv/reversebeatbrasil,https://twitch.tv/reversebeatbrasil,50/30/20,Skill,Double Elimination,2/3,3/5,Top 8,"3/5 Games for Losers Finals,3/5 Games for Winners Finals","* Obrigatório conexão de internet via cabo e estável;
* Obrigatório estar no servidor da Reverse Beat Brasil (https://discord.gg/zxqds56YRH)
* O vencedor de um jogo só pode trocar de luas; o perdedor pode trocar de luas e personagens.* Evidências de macros, scripts ou cheats sendo usados levarão ao banimento dos eventos.
* Evite stages avermelhados, com grama ou que atrapalhem a visibilidade dos jogadores e os seguintes stages: G TABLE(2) Gの食卓; G TABLE(1) Gの食卓; ...and nothing heart.

",Winner must keep character. Loser may switch.,,,c0ruj4,https://dl.airtable.com/.attachments/c1e4e6a1d860f218ee6f014077911b8d/b5d90fb4/Melty-Blood-Actress-Again-Current-Code-logo_png.png,,cccaster 3.1003,PC-Caster,2023-02-11 11:00am,2023-02-11 4:00pm,BRT,-3
MBAACC - SA/SUD - (PC-Caster),Melty Blood Actress Again Current Code,Melty Blood AACC,MBAACC,SA/SUD,"Argentina, Chile, Uruguay, Bolivia, Paraguay, Perú, Ecuador",https://www.start.gg/tournament/vortex-gallery-online-2023/event/melty-blood-actress-again-current-code-sud/overview,None,https://twitch.tv/meltysud,https://twitch.tv/meltysud,60/30/10,Skill,Double Elimination,2/3,2/3,Top 8,"3/5 Games for Losers Finals,3/5 Games for Winners Finals,3/5 Games for Grand Finals",,Winner must keep character. Loser may switch.,,,CancerisR,https://dl.airtable.com/.attachments/c1e4e6a1d860f218ee6f014077911b8d/b5d90fb4/Melty-Blood-Actress-Again-Current-Code-logo_png.png,,,PC-Caster,2023-02-11 1:00pm,2023-02-11 6:00pm,BRT,-3
MBTL - SEA - (PC-Steam),Melty Blood: Type Lumina,Lumina,MBTL,SEA,,https://www.start.gg/tournament/vortex-gallery-online-2023/event/melty-blood-type-lumina-sea/overview,64, https://twitch.tv/gasbux_, https://twitch.tv/gasbux_,50/30/20,Region + Skill,Double Elimination,2/3,2/3,Top 8,3/5 Games for Winners Finals,,Winner must keep character. Loser may switch.,,,Gasbux_,https://dl.airtable.com/.attachments/9cbbbaaaf331011d8eea9f54bda082c3/adf1d47c/fv_title_13568e059c5ebdd2da48d6de2537caf1.png,,,PC-Steam,2023-02-11 3:00am,2023-02-11 7:00pm,SGT,8
MBTL - LAN - (PC-Steam),Melty Blood: Type Lumina,Lumina,MBTL,LAN,"Belize, Colombia, Costa Rica, Cuba, Ecuador, El Salvador, French Guiana, Guatemala, Guyana, Honduras, Mexico, Nicaragua, Panama, Puerto Rico, Dominican Republic, Suriname, Venezuela and countries located on the Antilles (Barbados, Jamaica, Trinidad and Tobago, etc.)",https://www.start.gg/tournament/vortex-gallery-online-2023/event/melty-blood-type-lumina-lan/overview,64,https://twitch.tv/melty_lan,https://twitch.tv/melty_lan,50/30/20,Region + Skill,Double Elimination,2/3,2/3,Top 8,"3/5 Games for Losers Finals,3/5 Games for Winners Finals,3/5 Games for Grand Finals",,Winner must keep character. Loser may switch.,,,"Shiburizu,NekuSebas",https://dl.airtable.com/.attachments/9cbbbaaaf331011d8eea9f54bda082c3/adf1d47c/fv_title_13568e059c5ebdd2da48d6de2537caf1.png,,,PC-Steam,2023-03-04 4:00pm,2023-03-04 6:00pm,CST,-6
MBTL - NA - (PC-Steam),Melty Blood: Type Lumina,Lumina,MBTL,NA,Continental US,https://www.start.gg/tournament/vortex-gallery-online-2023/event/melty-blood-type-lumina-na/overview,128,https://twitch.tv/956productions,https://twitch.tv/956productions,70/20/10,Region + Skill,Double Elimination,2/3,2/3,Top 8,"3/5 Games for Losers Finals,3/5 Games for Winners Finals,3/5 Games for Grand Finals",,Winner must keep character. Loser may switch.,,,DJCream,https://dl.airtable.com/.attachments/9cbbbaaaf331011d8eea9f54bda082c3/adf1d47c/fv_title_13568e059c5ebdd2da48d6de2537caf1.png,,,PC-Steam,2023-03-05 11:00am,2023-03-05 11:00am,PST,-8
MBTL - OCE - (PC-Steam),Melty Blood: Type Lumina,Lumina,MBTL,OCE,"Australia, New Zealand
Other countries listed within the Oceania region (i.e New Caledonia, Papua New Guinea) may be allowed pending connection tests.",https://www.start.gg/tournament/vortex-gallery-online-2023/event/melty-blood-type-lumina-oce/overview,None,,,,,Double Elimination,2/3,,,,,,,,Firery,https://dl.airtable.com/.attachments/9cbbbaaaf331011d8eea9f54bda082c3/adf1d47c/fv_title_13568e059c5ebdd2da48d6de2537caf1.png,,,PC-Steam,2023-03-05 12:00am,2023-03-05 7:00pm,AEDT,11
MBTL - SA/BR - (PC-Steam),Melty Blood: Type Lumina,Lumina,MBTL,SA/BR,,https://www.start.gg/tournament/vortex-gallery-online-2023/event/melty-blood-type-lumina-br/overview,,,,60/30/10,,Double Elimination,2/3,2/3,Top 8,"3/5 Games for Grand Finals,3/5 Games for Winners Finals,3/5 Games for Losers Finals",,Winner must keep character. Loser may switch.,,,Hakkou,https://dl.airtable.com/.attachments/9cbbbaaaf331011d8eea9f54bda082c3/adf1d47c/fv_title_13568e059c5ebdd2da48d6de2537caf1.png,,,PC-Steam,2023-02-10 3:00pm,2023-02-10 8:00pm,BRT,-3
MBTL - SA/SUD - (PC-Steam),Melty Blood: Type Lumina,Lumina,MBTL,SA/SUD,"Argentina, Bolivia, Chile, Ecuador, Paraguay, Perú & Uruguay",https://www.start.gg/tournament/vortex-gallery-online-2023/event/melty-blood-type-lumina-sud/overview,None,https://twitch.tv/lagfighterchile,https://twitch.tv/lagfighterchile,60/30/10,Region + Skill,Double Elimination,2/3,2/3,Top 4,"3/5 Games for Losers Finals,3/5 Games for Winners Finals,3/5 Games for Grand Finals",,Winner must keep character. Loser may switch.,,"In the event of a game crash or disconnect, scoring will be kept for games & rounds, and the current round will be restarted.",Salazio,https://dl.airtable.com/.attachments/9cbbbaaaf331011d8eea9f54bda082c3/adf1d47c/fv_title_13568e059c5ebdd2da48d6de2537caf1.png,,,PC-Steam,2023-02-18 2:00pm,2023-02-18 7:00pm,BRT,-3
MBON - NA - (PS4),Mobile Suit Gundam Extreme VS Maxiboost ON,Gundam EXVS MBON,MBON,NA,"Canada, Mexico, United States",https://www.start.gg/tournament/vortex-gallery-online-2023/event/gundam-mbon-na/overview,,,,60/30/10,Skill,Double Elimination,N/A,2/3,Top 4,"3/5 Games for Winners Finals,3/5 Games for Losers Finals,3/5 Games for Grand Finals","Timer: 240 Seconds.
Stage: Side 7.

RANDOM ALL may be chosen, but the player who picks RANDOM ALL must be RANDOM ALL for the entire tournament.  In the case of RANDOM FAVORITES, if a player wins a game in a set, that player must manually pick the suit and Burst type they won on.

",Winner must keep character. Loser may switch.,,@ gundam players pLEASE read the dc & lag section i'm begging you,Bulletprccf,https://dl.airtable.com/.attachments/416c25347e944f73dab89bc4419bed25/af1694be/Gundam-EXVS-MBON-logo.png,"Blind pick for suits is enforced upon request - see a staff member on-site. In the case of a timeout, the team with the higher total point score takes the game.

Character change note:  winners are locked to suit AND burst; losers may switch.",N/A,PS4,2023-02-17 6:00pm,2023-02-17 6:00pm,PST,-8
MBON - OCE - (PS4),Mobile Suit Gundam Extreme VS Maxiboost ON,Gundam EXVS MBON,MBON,OCE,"Australia, New Zealand
Other countries listed within the Oceania region (i.e New Caledonia, Papua New Guinea) may be allowed pending connection tests.",https://www.start.gg/tournament/vortex-gallery-online-2023/event/gundam-mbon-oceania/overview,None,,,,,Double Elimination,N/A,2/3,Top 8,"3/5 Games for Winners Finals,3/5 Games for Losers Finals,3/5 Games for Grand Finals","Timer: 240 Seconds.
Stage: Side 7.

RANDOM ALL may be chosen, but the player who picks RANDOM ALL must be RANDOM ALL for the entire tournament.  In the case of RANDOM FAVORITES, if a player wins a game in a set, that player must manually pick the suit and Burst type they won on.

",Winner must keep character. Loser may switch.,,,Firery,https://dl.airtable.com/.attachments/416c25347e944f73dab89bc4419bed25/af1694be/Gundam-EXVS-MBON-logo.png,"Blind pick for suits is enforced upon request - see a staff member on-site. In the case of a timeout, the team with the higher total point score takes the game.",N/A,PS4,2023-02-18 12:00am,2023-02-18 7:00pm,AEDT,11
NTM - ALL - (PC-Fightcade),Neo Turf Masters,NTM,NTM,ALL,,https://www.start.gg/tournament/vortex-gallery-online-2023/event/neo-turf-masters-global/overview,64,https://twitch.tv/dekafumodeathcult,https://twitch.tv/dekafumodeathcult,TBD,Skill,Single Elimination,N/A,,Top 4,,,,,"In event of desync, disconnect, crash or Germany 10 reset: players will restart on Japan, skip the first 3 holes, then Japan hole 4 will count as whatever hole the error occurred on. E.g.: If the game crashes on USA hole 12, players will draw the first three holes of Japan and then play Japan 4 as if it were USA 12.",Deka Fumo Death Cult,https://dl.airtable.com/.attachments/dc100f40fa2e2f623cd8359fc98dc437/07f2cbfa/NTM-logo.png,,,PC-Fightcade,2023-02-11 11:00am,2023-02-11 11:00am,PST,-8
NASB - NA - (PC-Steam),Nickelodeon All-Star Brawl,Nickelodeon,NASB,NA,North America ,https://www.start.gg/tournament/vortex-gallery-online-2023/event/nickelodeon-all-star-brawl-na/overview,32,https://twitch.tv/blackimar64,https://twitch.tv/blackimar64,60/30/10,Skill,Double Elimination,N/A,3/5,Top 4,"3/5 Games for Winners Finals,3/5 Games for Losers Finals,3/5 Games for Grand Finals","Game settings: 4 stocks, 6 minutes

Starter: Jellyfish Felds, Rooftop Rumble, Irken Armada Invasion, Sweet Dreams, Duck Duck Pie
Counterpick: Sewer Slam, Tremorton Joyride Royal Woods Cemetery 

Game 1: Double-Blind character selection before stages. 1-2-1 striking. 
After Game 1: Winner picks character. then loser picks character. Winner gets 1 stage ban in b05 and 2 bans in b03.
Loser Picks a remaining stage.
DSR: You may not pick a stage you've won on.",Winner & Loser may switch.,,,HeyVictor,https://dl.airtable.com/.attachments/9d240875fa9b5c2597c9bcb5d09f409d/3832b551/NASB.png,,Zadig 2.7 -  to get the WUP-028 driver for GameCube adapter compatibility ,PC-Steam,2023-02-18 4:00pm,2023-02-18 4:00pm,PST,-8
P4U2 - NA+JP - (PS4),Persona 4 Ultimax,Persona,P4U2,"NA, JP","North America, Japan",https://www.start.gg/tournament/vortex-gallery-online-2023/event/persona-4-arena-ultimax-psn-na-jp/overview,256,,,,,Double Elimination,2/3,2/3,Top 8,"3/5 Games for Winners Finals,3/5 Games for Losers Finals,3/5 Games for Grand Finals","Random Stage, players may play on an agreed upon stage 
",Winner must keep character. Loser may switch.,Game breaking glitches are banned.,,Osugure,https://dl.airtable.com/.attachments/5f521081ecb24faaab2c1130ba53710c/df960a2c/P4ULogoFinal.png,,,PS4,2023-03-04 7:00pm,2023-03-04 7:00pm,PST,-8
P4U2 - NA+EU - (PC-Steam),Persona 4 Ultimax,Persona,P4U2,"NA, EU",,https://www.start.gg/tournament/vortex-gallery-online-2023/event/persona-4-arena-ultimax-pc-na-eu/overview,256,https://twitch.tv/personafightclub,https://twitch.tv/personafightclub,60/30/10,Skill,Double Elimination,2/3,2/3,Top 8,"3/5 Games for Winners Finals,3/5 Games for Losers Finals,3/5 Games for Grand Finals",,Winner must keep character. Loser may switch.,,,"Tabby,GrimFlash,Diosama",https://dl.airtable.com/.attachments/5f521081ecb24faaab2c1130ba53710c/df960a2c/P4ULogoFinal.png,,,PC-Steam,2023-02-11 3:00pm,2023-02-11 3:00pm,PST,-8
P4U2 - OCE - (PC-Steam),Persona 4 Ultimax,Persona,P4U2,OCE,"Australia, New Zealand
Other countries listed within the Oceania region (i.e New Caledonia, Papua New Guinea) may be allowed pending connection tests.",https://www.start.gg/tournament/vortex-gallery-online-2023/event/persona-4-arena-ultimax-oce/overview,None,,,,,Double Elimination,2/3,,,,,,,,"Firery,Halowood",https://dl.airtable.com/.attachments/5f521081ecb24faaab2c1130ba53710c/df960a2c/P4ULogoFinal.png,,,PC-Steam,2023-02-12 12:00am,2023-02-12 7:00pm,AEDT,11
P4U2 - SA/SUD - (PC-Steam),Persona 4 Ultimax,Persona,P4U2,SA/SUD,"Argentina, Bolivia, Chile, Ecuador, Paraguay, Perú & Uruguay",https://www.start.gg/tournament/vortex-gallery-online-2023/event/persona-4-arena-ultimax-sud/overview,None,https://twitch.tv/lagfighterchile,https://twitch.tv/lagfighterchile,60/30/10,Region + Skill,Double Elimination,2/3,2/3,Top 4,"3/5 Games for Winners Finals,3/5 Games for Losers Finals,3/5 Games for Grand Finals","Random Stage, players may play on an agreed upon stage
",Winner must keep character. Loser may switch.,Game breaking glitches are banned.,"In the event of a game crash or disconnect, scoring will be kept for games & rounds, and the current round will be restarted",Salazio,https://dl.airtable.com/.attachments/5f521081ecb24faaab2c1130ba53710c/df960a2c/P4ULogoFinal.png,,,PC-Steam,2023-02-12 12:00pm,2023-02-12 5:00pm,BRT,-3
PBO - JP - (PS4),Phantom Breaker Omnia,Phantom Breaker,PBO,JP,,https://www.start.gg/tournament/vortex-gallery-online-2023/event/phantom-breaker-omnia-japan,,https://twitch.tv/shinj4y,https://twitch.tv/shinj4y,60/30/10,Skill,Double Elimination,2/3,2/3,Top 8,"3/5 Games for Grand Finals,3/5 Games for Winners Finals,3/5 Games for Losers Finals",,,,,Bloo,https://dl.airtable.com/.attachments/fb742d3b943e98afcb11f26c6a7446f7/964a7dd1/Phantom-Breaker-Omnia-Logo.png,,,PS4,2023-02-11 5:00am,2023-02-11 10:00pm,JST,9
PBO - ALL - (PC-Steam),Phantom Breaker Omnia,Phantom Breaker,PBO,ALL,,https://www.start.gg/tournament/vortex-gallery-online-2023/event/phantom-breaker-omnia-global/overview,,,,60/30/10,Region + Skill,Double Elimination,2/3,2/3,Top 8,"3/5 Games for Winners Finals,3/5 Games for Losers Finals,3/5 Games for Grand Finals",,,,,Bloo,https://dl.airtable.com/.attachments/fb742d3b943e98afcb11f26c6a7446f7/964a7dd1/Phantom-Breaker-Omnia-Logo.png,,,PC-Steam,2023-03-04 7:00pm,2023-03-04 7:00pm,PST,-8
PBO - NA - (PC-Steam),Phantom Breaker Omnia,Phantom Breaker,PBO,NA,"Canada, Mexico, Continental US, HI & Alaska can test on a case-by-case basis",https://www.start.gg/tournament/vortex-gallery-online-2023/event/phantom-breaker-omnia-na,None,,,TBD,Skill,Double Elimination,2/3,2/3,Top 4,"3/5 Games for Winners Finals,3/5 Games for Losers Finals,3/5 Games for Grand Finals","Default Game settings: 2/3 Rounds, 90 second timer",Winner must keep character. Loser may switch.,,,Bloo,https://dl.airtable.com/.attachments/fb742d3b943e98afcb11f26c6a7446f7/964a7dd1/Phantom-Breaker-Omnia-Logo.png,"Winner must keep character, but may change perimeter and/or style between games. Loser can change character, perimeter and/or style between games.",,PC-Steam,2023-02-11 6:00pm,2023-02-11 6:00pm,PST,-8
PRBFTG - NA+EU+LAN - (PC-Steam),Power Rangers: Battle for the Grid,Power Rangers,PRBFTG,"NA, EU, LAN",,https://www.start.gg/tournament/vortex-gallery-online-2023/event/power-rangers-battle-for-the-grid-na-eu-lan/overview,32,https://twitch.tv/akaragitsune,https://twitch.tv/akaragitsune,60/30/10,Skill,Double Elimination,N/A,3/5,Top 8,"3/5 Games for Winners Finals,3/5 Games for Grand Finals,3/5 Games for Losers Finals",,Winner must keep character. Loser may switch.,SPD 300% setup is banned.,"A ping test from the link below will be required if requested by any player, bracket runner, or TO. http://ping-test.net/",omega_black,https://dl.airtable.com/.attachments/3e7a9737a539669e68eda4a1289a0529/a993e322/power-rangers-battle-for-the-grid-logo.png,,,PC-Steam,2023-02-19 12:00pm,2023-02-19 12:00pm,PST,-8
PJ - ALL - (PC-Fightcade),Project Justice,PJ,PJ,ALL,Any country/state,https://www.start.gg/tournament/vortex-gallery-online-2023/event/project-justice-global/overview,None,https://twitch.tv/chairgtables,https://twitch.tv/chairgtables,60/30/10,Skill,Double Elimination,2/3,2/3,Top 8,"3/5 Games for Winners Finals,3/5 Games for Losers Finals,3/5 Games for Grand Finals",Default Game settings.,Winner must keep character. Loser may switch.,Floating in the air with Kyosuke is not allowed. You cannot exceed three loops for infinites. ,,ChairGTables,https://dl.airtable.com/.attachments/7b6c267356a5243e5086a7c8af92b754/3c6322b4/ProjectJustice.png,"Switching characters between in-game rounds is allowed, whether or not you win the round. Winner of each game must keep their characters the same, along with the same order. You are not allowed to set any of your buttons as a macro to perform a super move on the controls screen. The extra students / custom characters are not allowed to be used.",,PC-Fightcade,2023-02-11 6:00pm,2023-02-11 6:00pm,PST,-8
PPC - ALL - (PC-Steam),Puyo Puyo Champions,Puyo Champions,PPC,ALL,,https://www.start.gg/tournament/vortex-gallery-online-2023/event/puyo-puyo-champions-global/overview,64,https://twitch.tv/kiyobi,https://twitch.tv/kiyobi,50/25/15/10,Region + Skill,Double Elimination,N/A,,Top 8,,"Tournament Format
    Mode: Puyo Puyo Tsuu.
    Double Elimination.
    Pools:
        First to 7 Rounds per Game.
        First to 1 Game.
    Top 3:
        First to 10 Rounds per Game.
        First to 1 Game.

Tournament Rules
    Mode: Puyo Puyo Tsuu
    Difficulty setting: Medium.
    Characters may not be changed for the entirety of the set.
",,,,-ZAN,https://dl.airtable.com/.attachments/64b5ee7bb2737c9bfdc1c9922aeec4c6/6f80bfe7/logo.png,,,PC-Steam,2023-02-25 10:00am,2023-02-25 10:00am,PST,-8
RE - ALL - (PC-Fightcade),Red Earth,,RE,ALL,,https://www.start.gg/tournament/vortex-gallery-online-2023/event/red-earth-global/overview,None,https://twitch.tv/melvinisaniceboy,https://twitch.tv/melvinisaniceboy,N/A,Skill,Double Elimination,2/3,2/3,Top 8,"3/5 Games for Losers Finals,3/5 Games for Winners Finals,3/5 Games for Grand Finals",,Winner must keep character. Loser may switch.,,"If there is a connection problem during tournament, the wired player will be favored no matter what. If both or neither are on wifi, a lag check will be performed (who will perform it will be based on region).

If a decision cannot be reached, a coin toss will be performed.","GhostShroom,MelvinIsANiceBoy",https://dl.airtable.com/.attachments/12b3d8e53ebf3b9265a096f315f1de32/b564b17b/RE_Logo.png,"If you are being streamed, wait until you are on stream to play. Reset using f3 until you are being spectated by the streamer.",,PC-Fightcade,2023-02-19 12:00pm,2023-02-19 12:00pm,PST,-8
